state,time,commodity,country,total_import_values
Arizona,2015,321 Wood Products,World Total,"155,005,798"
Arizona,2015,322 Paper,World Total,"111,720,266"
Arizona,2015,"323 Printed Matter And Related Products, Nesoi",World Total,"26,009,194"
Arizona,2015,324 Petroleum & Coal Products,World Total,"5,843,894"
Arizona,2015,325 Chemicals,World Total,"705,802,748"
Arizona,2015,326 Plastics & Rubber Products,World Total,"323,378,020"
Arizona,2015,327 Nonmetallic Mineral Products,World Total,"216,386,017"
Arizona,2015,331 Primary Metal Mfg,World Total,"526,946,803"
Arizona,2015,"332 Fabricated Metal Products, Nesoi",World Total,"539,678,175"
Arizona,2015,"333 Machinery, Except Electrical",World Total,"1,918,903,251"
Arizona,2015,334 Computer & Electronic Products,World Total,"3,845,094,302"
Arizona,2015,"335 Electrical Equipment, Appliances & Components",World Total,"1,675,876,814"
Arizona,2015,336 Transportation Equipment,World Total,"3,252,412,509"
Arizona,2015,337 Furniture & Fixtures,World Total,"408,121,461"
Arizona,2015,339 Miscellaneous Manufactured Commodities,World Total,"796,640,825"
Arizona,2015,910 Waste And Scrap,World Total,"16,395,437"
Arizona,2015,930 Used Or Second-hand Merchandise,World Total,"27,855,379"
Arizona,2015,980 Goods Returned (exports For Canada Only),World Total,"1,655,660,247"
Arizona,2015,990 Other Special Classification Provisions,World Total,"50,654,710"
Arizona,2016,111 Agricultural Products,World Total,"2,461,470,432"
Arizona,2016,112 Livestock & Livestock Products,World Total,"147,492,185"
Arizona,2016,"113 Forestry Products, Nesoi",World Total,"1,468,123"
Arizona,2016,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,"55,718,088"
Arizona,2016,211 Oil & Gas,World Total,"25,322,411"
Arizona,2016,212 Minerals & Ores,World Total,"12,767,877"
Arizona,2016,311 Food & Kindred Products,World Total,"300,093,112"
Arizona,2016,312 Beverages & Tobacco Products,World Total,"183,358,465"
Arizona,2016,313 Textiles & Fabrics,World Total,"41,056,354"
Arizona,2016,314 Textile Mill Products,World Total,"215,945,315"
Arizona,2016,315 Apparel & Accessories,World Total,"235,697,520"
Arizona,2016,316 Leather & Allied Products,World Total,"96,278,494"
Arizona,2016,321 Wood Products,World Total,"166,773,128"
Arizona,2016,322 Paper,World Total,"88,954,551"
Arizona,2016,"323 Printed Matter And Related Products, Nesoi",World Total,"28,129,755"
Arizona,2016,324 Petroleum & Coal Products,World Total,"5,185,683"
Arizona,2016,325 Chemicals,World Total,"630,040,145"
Arizona,2016,326 Plastics & Rubber Products,World Total,"311,613,767"
Arizona,2016,327 Nonmetallic Mineral Products,World Total,"215,158,045"
Arizona,2016,331 Primary Metal Mfg,World Total,"457,002,144"
Arizona,2016,"332 Fabricated Metal Products, Nesoi",World Total,"558,801,120"
Arizona,2016,"333 Machinery, Except Electrical",World Total,"2,008,170,750"
Arizona,2016,334 Computer & Electronic Products,World Total,"3,946,617,104"
Arizona,2016,"335 Electrical Equipment, Appliances & Components",World Total,"1,554,529,066"
Arizona,2016,336 Transportation Equipment,World Total,"2,544,824,690"
Arizona,2016,337 Furniture & Fixtures,World Total,"452,518,130"
Arizona,2016,339 Miscellaneous Manufactured Commodities,World Total,"697,807,225"
Arizona,2016,910 Waste And Scrap,World Total,"14,328,239"
Arizona,2016,930 Used Or Second-hand Merchandise,World Total,"46,126,868"
Arizona,2016,980 Goods Returned (exports For Canada Only),World Total,"2,091,763,999"
Arizona,2016,990 Other Special Classification Provisions,World Total,"52,661,196"
Arizona,2017,111 Agricultural Products,World Total,"2,236,240,325"
Arizona,2017,112 Livestock & Livestock Products,World Total,"192,184,549"
Arizona,2017,"113 Forestry Products, Nesoi",World Total,"2,209,116"
